kód SOORP;název SO ORP;"Počet obyvatel
(k 31.12.)";Přirozený přírůstek;Saldo migrace;"Podíl obyvatel ve věku
0-14 na celkovém počtu obyvatel (%)";"Počet obyvatel ve věku
0-14 (k 31.12.)";"Podíl obyvatel ve věku 
65 a více let na celkovém počtu obyvatel (%)";"Počet obyvatel ve věku
65 a více let (k 31.12.)";"Počet částí obce
 (k 31.12.)";"Podíl nezaměstnaných osob dosažitelných (%) 
k 31.12.";Uchazeči o zaměstnání v evidenci úřadu práce (k 31. 12.) - dosažitelní;Uchazeči o zaměstnání v evidenci úřadu práce (k 31. 12.) - celkem;Uchazeči o zaměstnání v evidenci úřadu práce - absolventi (k 31. 12.);"Uchazeči o zaměstnání v evidenci úřadu práce - evidence nad 12 měs.
(k 31. 12.)";Počet dokončených bytů;Počt dokončených bytů v rodinných domech;Počet hromadných ubytovacích zařízení celkem (k 31.12.);Počet lázeňských léčeben (k 31.12.);Počet lůžek v lázeňských léčebnách (k 31.12.);Podíl zemědělské půdy z celkové výměry (%);Podíl orné půdy ze zemědělské půdy (%);Podíl trvalých travních porostů ze zemědělské půdy (%);Podíl zastavěných a ostatních ploch z celkové výměry (%);Podíl vodních ploch z celkové výměry (%);Podíl lesních pozemků z celkové výměry (%);Koeficient ekologické stability;Orná půda (ha);Chmelnice (ha);Vinice (ha);Zahrady (ha);Ovocné sady (ha);Trvalé travní porosty (ha);Lesní půda (ha);Vodní plochy (ha);Zastavěné plochy (ha);Ostatní plochy (ha);Zemědělská půda (ha);Celková výměra (ha);Živě narození;Zemřelí;Přistěhovalí;Vystěhovalí;Průměrný věk (k 31. 12.);"Počet obyvatel ve věku
 15- 64 let (k 31.12.)";Kód KRAJ_NUTS;Kód CZ_NUTS (3);KRAJ
3106;Kaplice;19869;46;149;15,99476572;3178;17,34863355;3447;77;2,81401699;371;404;14;60;60;49;17;0;0;41,66369121;37,41109702;61,08118887;7,940681872;1,572212902;48,82341401;3,250340678;7554,2315;-;-;270,7074;33,7376;12333,8121;23662,4793;761,9798;250,4518;3598,0341;20192,4886;48465,4336;213;167;604;455;41,44675122;13244;3034;CZ031;Jihočeský kraj
3107;Milevsko;18235;-45;93;13,77570606;2512;24,11296956;4397;104;2,692037881;307;334;7;23;33;32;19;0;0;58,84650606;71,41369723;25,97136348;6,995550516;3,559770686;30,59817274;1,039983007;16182,714;-;-;551,3584;41,2004;5885,2456;11782,6954;1370,7908;487,8709;2205,9645;22660,5184;38507,84;179;224;373;280;45,20112421;11326;3034;CZ031;Jihočeský kraj
3108;Písek;53352;-67;298;15,63390313;8341;21,28130154;11354;158;1,672042852;565;649;21;39;51;50;67;1;i.d.;53,30643899;76,44908275;20,57948729;7,847022846;4,440048665;34,4064895;1,05764253;30231,2372;-;-;1063,2902;111,7403;8138,0095;25523,7413;3293,7581;1048,6501;4772,5012;39544,2772;74182,9279;550;617;1157;859;43,12020168;33657;3034;CZ031;Jihočeský kraj
3109;Prachatice;33458;-29;30;15,70625859;5255;19,41837528;6497;163;2,462017207;538;616;22;59;62;56;66;0;0;39,82345519;38,62285525;56,58483559;10,35949804;1,807189804;48,00985697;2,88493544;12940,4814;-;-;680,2247;925,4253;18958,5935;40392,2021;1520,4456;539,9679;8175,8035;33504,7249;84133,144;344;373;614;584;42,3556698;21706;3034;CZ031;Jihočeský kraj
3110;Soběslav;21947;-51;84;15,15924728;3327;22,14425662;4860;60;1,901469317;264;309;14;29;70;69;22;0;0;58,31249281;73,77793814;23,02232176;8,845997396;7,306961039;25,53454876;0,927980212;13936,5417;-;-;584,8653;19,5608;4348,882;8271,7059;2367,0296;444,9555;2420,6322;18889,8498;32394,173;223;274;378;294;43,8181756;13760;3034;CZ031;Jihočeský kraj
3111;Strakonice;45223;-90;8;15,97417243;7224;20,90529156;9454;153;2,927099951;844;992;29;175;119;71;35;0;0;66,33325771;66,45380219;30,3718725;9,393279144;2,673729141;21,599734;0,870058918;25308,378;-;-;1097,661;111,2544;11566,8751;12401,1384;1535,0784;857,3012;4535,6983;38084,1685;57413,3848;416;506;606;598;43,20559229;28545;3034;CZ031;Jihočeský kraj
3112;Tábor;80648;-145;210;15,5341732;12528;21,39792679;17257;290;2,912583377;1489;1603;66;286;159;102;85;2;512;58,66247519;74,05226174;22,6205685;8,519230413;2,169771647;30,64852275;0,924552904;43546,9337;-;-;1924,6993;31,8654;13302,1784;30723,3392;2175,0683;1425,3243;7114,7025;58805,6768;100244,1111;804;949;1266;1056;43,36816784;50863;3034;CZ031;Jihočeský kraj
3113;Trhové Sviny;19267;-27;174;16,60870919;3200;18,98064047;3657;90;1,78643602;221;247;9;22;88;68;32;0;0;46,80072215;61,54499003;35,83565051;6,60661622;5,183741359;41,40892027;1,824051748;13029,1003;-;-;537,2873;17,2322;7586,4223;18731,091;2344,8361;367,9621;2620,5034;21170,0421;45234,4347;172;199;452;278;41,92134219;12410;3034;CZ031;Jihočeský kraj
3114;Třeboň;24796;-27;103;14,6959187;3644;22,43507017;5563;46;1,583349295;248;280;10;28;94;40;134;1;i.d.;32,65076689;63,04021152;34,19916978;7,763839785;13,01405305;46,57134027;2,5277161;11080,296;-;-;478,5538;6,6678;6011,0351;25070,2723;7005,7218;544,2719;3635,1564;17576,5527;53831,9751;252;279;558;455;44,05924343;15589;3034;CZ031;Jihočeský kraj
3115;Týn nad Vltavou;14083;-6;0;15,5719662;2193;18,41937087;2594;59;1,841797083;173;198;10;35;10;10;16;0;0;60,85749596;79,16594438;18,06780496;8,499673227;2,46707757;28,17575324;0,764350377;12641,9848;-;-;403,3031;38,4386;2885,2421;7393,2999;647,3596;332,2768;1898,0321;15968,9686;26239,937;135;141;246;246;42,09539871;9296;3034;CZ031;Jihočeský kraj
3116;Vimperk;17520;-6;12;15,35958904;2691;20,49657534;3591;109;2,598203276;295;329;10;14;76;51;116;0;0;29,6518714;26,51671154;71,15599406;9,617774283;0,589377657;60,14097665;4,720668185;4209,6489;-;-;354,2522;15,2164;11296,3386;32199,1628;315,5497;285,1617;4864,1441;15875,4561;53539,4744;173;179;332;320;43,04805936;11238;3034;CZ031;Jihočeský kraj
3117;Vodňany;11881;17;92;15,36065988;1825;18,94621665;2251;44;2,387063655;186;236;9;70;17;17;11;0;0;63,41225099;67,68156445;24,37343014;8,911574926;4,427119887;23,2490542;0,929385329;7692,281;-;-;250,9768;652,0049;2770,138;4166,9364;793,4743;273,5626;1323,6622;11365,4007;17923,0362;134;117;350;258;42,25902702;7805;3034;CZ031;Jihočeský kraj
3201;Blovice;12185;-48;76;15,80631924;1926;21,0586787;2566;51;1,811125485;140;175;7;27;32;23;8;0;0;55,93690981;65,31060533;29,92924519;8,12303455;1,288902768;34,65115287;1,239352324;8366,9986;-;-;477,8602;131,9667;3834,2617;7936,0648;295,1941;310,4478;1549,95;12811,0872;22902,7439;118;166;293;217;43,03697169;7693;3042;CZ032;Plzeňský kraj
3202;Domažlice;40679;-25;42;15,61247818;6351;20,54622778;8358;159;2,008783655;526;566;25;68;72;67;43;0;0;49,65953462;56,58740886;40,74301148;7,324302963;1,187401453;41,82876097;1,822837569;21445,439;-;-;910,494;101,2206;15440,7453;31921,8085;906,1708;785,9854;4803,5896;37897,8989;76315,4532;422;447;690;648;42,87567295;25970;3042;CZ032;Plzeňský kraj
3203;Horažďovice;11535;-57;-16;13,86215865;1599;23,07758994;2662;59;2,645502646;195;223;7;24;17;17;11;0;0;64,86095082;70,76077578;26,41697491;9,95549833;3,378510711;21,80504014;0,790458672;11876,1169;-;-;403,5629;70,1086;4433,6863;5642,2907;874,2263;338,8903;2237,2029;16783,4747;25876,0849;86;143;197;213;44,84841786;7274;3042;CZ032;Plzeňský kraj
3204;Horšovský Týn;14825;2;135;16,37099494;2427;19,08263069;2829;74;2,454308094;235;258;9;29;61;48;6;0;0;63,90600722;78,92583529;18,89860676;8,188880386;1,440252076;26,46486031;0,705692037;14562,323;-;-;373,7944;27,61;3486,9142;7640,8099;415,8228;357,3471;2006,9079;18450,6416;28871,5293;161;159;410;275;41,94370995;9569;3042;CZ032;Plzeňský kraj
3205;Klatovy;50720;-83;239;15,09858044;7658;21,19479495;10750;242;1,727382091;560;653;22;57;194;125;119;0;0;50,57550469;56,25102158;40,02690429;8,64441418;1,354725832;39,4253553;1,695879051;25779,3524;-;-;1468,2369;237,5572;18343,981;35725,3901;1227,5884;1090,8088;6742,35;45829,1275;90615,2648;504;587;839;600;43,39518927;32312;3042;CZ032;Plzeňský kraj
3206;Kralovice;22367;-78;102;14,60186882;3266;21,58537131;4828;120;2,847594514;409;519;7;109;77;45;27;0;0;47,08841539;80,32563242;17,0825039;6,785852396;1,048223434;45,07750878;1,241653881;24935,3794;0,5203;-;752,7071;51,3614;5302,899;29717,1843;691,0375;647,0619;3826,4867;31042,8672;65924,6376;177;255;525;423;43,56312872;14273;3042;CZ032;Plzeňský kraj
3207;Nepomuk;11583;-54;74;14,52991453;1683;22,87835621;2650;64;2,736352442;200;225;7;44;27;14;7;0;0;58,18907112;63,64402148;33,25064123;7,705648432;1,833534879;32,27174557;1,235160656;11434,826;-;-;533,5437;24,3876;5974,0929;9964,4419;566,1346;378,4424;2000,8056;17966,8502;30876,6747;83;137;269;195;44,36376586;7250;3042;CZ032;Plzeňský kraj
3208;Nýřany;57612;22;655;16,85065611;9708;18,11428175;10436;118;2,135327022;794;880;50;101;374;243;19;0;0;53,88286057;81,66374319;14,08842316;9,007782834;1,598849774;35,51050682;0,886417173;27611,8774;-;-;1233,3556;202,908;4763,5315;22282,96;1003,2835;895,0828;4757,3306;33811,6725;62750,3294;579;557;1720;1065;41,41298688;37468;3042;CZ032;Plzeňský kraj
3209;Plzeň;194280;32;2649;15,42258596;29963;20,78752316;40386;46;2,118184413;2597;2948;97;395;1167;317;70;0;0;47,58526352;70,73272103;16,19448871;25,02329806;2,3459395;25,04549892;0,704110236;8798,8902;-;-;1558,6085;67,5985;2014,5348;6547,3377;613,2702;1313,4615;5228,0725;12439,632;26141,7739;2064;2032;6383;3734;43,01549825;123931;3042;CZ032;Plzeňský kraj
3210;Přeštice;22885;31;268;15,93183308;3646;19,44068167;4449;58;1,605551398;236;259;11;31;111;79;8;0;0;59,41790383;76,42844866;18,61739943;8,244901916;1,338982658;30,9982116;0,863686814;12317,9104;-;-;659,5507;138,9059;3000,551;8408,1666;363,1948;476,4667;1759,9368;16116,918;27124,6829;251;220;637;369;42,44874372;14790;3042;CZ032;Plzeňský kraj
3211;Rokycany;49349;-61;444;15,5241241;7661;20,43607773;10085;101;2,486931728;785;849;21;197;109;107;31;0;0;40,56883521;72,97242158;21,20462974;9,003127161;1,573820431;48,8542172;1,590191194;19438,9843;-;-;1361,5664;189,5978;5648,6609;32079,2592;1033,4214;908,5752;5003,1693;26638,8094;65663,2345;521;582;1133;689;42,88331071;31603;3042;CZ032;Plzeňský kraj
3212;Stod;23393;3;140;16,17577908;3784;19,30919506;4517;41;1,618788562;244;274;13;29;155;59;4;0;0;58,08548839;83,90281467;13,29356517;10,19263172;1,535806847;30,18607304;0,6969864;12631,9693;-;-;391,5604;30,538;2001,4097;7824,084;398,0737;382,7691;2259,1117;15055,4774;25919,5159;257;254;744;604;42,03657077;15092;3042;CZ032;Plzeňský kraj
3213;Stříbro;17190;5;135;15,45084351;2656;18,52239674;3184;90;2,874779541;326;344;8;51;40;29;26;1;i.d.;51,86955677;73,17414394;24,63572488;7,62384739;1,486600873;39,01999497;1,193995181;16346,569;-;-;425,6795;63,5798;5503,4409;16805,198;640,2518;402,3099;2881,1417;22339,2692;43068,1706;183;178;469;334;42,2264107;11350;3042;CZ032;Plzeňský kraj
3214;Sušice;24150;-55;41;14,60041408;3526;22,96480331;5546;178;3,797717434;579;627;12;106;50;26;122;0;0;34,43755763;40,07113905;56,69721026;8,836512854;1,664115379;55,06181413;3,417734925;10773,0056;-;-;724,0696;144,75;15242,875;42985,6374;1299,141;583,0933;6315,3924;26884,7002;78067,9643;225;280;422;381;44,46650104;15078;3042;CZ032;Plzeňský kraj
3215;Tachov;37146;37;572;15,71905454;5839;17,34776288;6444;137;2,80697466;689;756;16;127;202;100;27;0;0;45,44238917;58,19069101;39,86564663;6,821741723;2,101034013;45,63483509;2,006164261;25061,9348;-;-;620,8906;216,2182;17169,5888;43251,0256;1991,2831;670,8031;5794,5939;43068,6324;94776,3381;396;359;1197;625;41,59731869;24863;3042;CZ032;Plzeňský kraj
4101;Aš;17695;-24;64;16,38315908;2899;18,52500706;3278;22;1,518157509;176;197;2;31;23;23;6;0;0;38,44455862;35,98434364;59,86032237;10,41264291;1,072001034;50,07079744;3,124278536;1988,6736;-;-;220,1495;9,4949;3308,1788;7197,7963;154,1027;162,3728;1334,4694;5526,4968;14375,238;172;196;421;357;41,74549308;11518;3051;CZ041;Karlovarský kraj
4102;Cheb;49955;-103;101;15,70013012;7843;19,6296667;9806;105;2,002830421;651;730;17;66;223;91;90;17;2359;56,97167973;63,52201112;34,49266075;11,15039449;4,551806254;27,32611952;1,112380714;17979,4564;-;-;524,2214;37,7117;9762,9039;13575,9821;2261,3983;552,8951;4986,7702;28304,2934;49681,3391;447;550;939;838;42,53178861;32306;3051;CZ041;Karlovarský kraj
4103;Karlovy Vary;87182;-238;254;14,39173224;12547;22,08024592;19250;183;2,588348855;1448;1612;44;260;215;120;175;29;5125;37,79718706;48,37667855;48,80262173;22,47917245;1,686828923;38,03681157;1,453133129;21419,9732;-;-;928,3661;320,5686;21608,5701;44558,1859;1976,0341;999,2482;25333,9565;44277,478;117144,9027;790;1028;1943;1689;44,14121034;55385;3051;CZ041;Karlovarský kraj
4104;Kraslice;13184;-26;57;15,69326456;2069;20,8586165;2750;29;3,446642189;291;312;6;72;16;3;19;0;0;23,09700095;7,322045471;89,37779008;6,282481152;1,26830427;69,35221363;11,54130154;447,3802;-;-;201,6415;-;5461,0223;18346,3246;335,5152;139,8284;1522,1292;6110,044;26453,8414;120;146;363;306;43,071071;8365;3051;CZ041;Karlovarský kraj
4105;Mariánské Lázně;23984;-75;131;14,49299533;3476;22,59422949;5419;57;2,035740001;311;332;9;36;42;42;111;8;2566;40,29214352;32,28836842;65,98733012;7,749811826;2,139026708;49,81901795;3,817074586;5273,19;-;-;277,8841;3,721;10776,7517;20193,0588;867,0081;342,1905;2799,0277;16331,5468;40532,8319;238;313;633;502;44,21426785;15089;3051;CZ041;Karlovarský kraj
4106;Ostrov;27636;-44;-168;14,84657693;4103;19,73150963;5453;58;2,315823888;425;477;7;99;58;26;89;1;i.d.;26,44541551;20,17981864;74,35494163;11,77597986;1,965323684;59,81328094;4,84364165;1810,6581;-;-;299,9239;190,4512;6671,5851;20293,9424;666,8112;280,9111;3714,5403;8972,6183;33928,8233;252;296;468;636;43,17046606;18080;3051;CZ041;Karlovarský kraj
4107;Sokolov;75028;-68;-93;15,74478861;11813;18,95558991;14222;74;3,804303859;1881;2092;41;477;106;74;33;0;0;29,91040344;24,81537074;70,46030149;26,12777925;1,805009029;42,15680828;1,980612005;3631,0048;-;-;662,6029;28,6645;10309,8074;20622,9841;883,005;579,6781;12201,9531;14632,0796;48919,6999;808;876;1162;1255;42,19736632;48993;3051;CZ041;Karlovarský kraj
4201;Bílina;22600;-22;80;14,86283186;3359;17,41150442;3935;30;2,544082243;391;422;10;57;8;5;2;0;0;38,05898023;61,46669671;33,20409358;36,53137323;1,116922283;24,29272426;0,66875341;2891,0425;-;-;160,0224;90,6332;1561,731;3002,1589;138,0322;197,3314;4317,312;4703,4291;12358,2636;194;216;626;546;41,58778761;15306;3069;CZ042;Ústecký kraj
4202;Děčín;76842;-87;-102;16,12009058;12387;21,29304287;16362;121;3,918017944;1904;2070;61;354;117;72;91;0;0;37,57593976;31,27345164;60,81544667;8,965185968;1,15459093;52,30428334;3,827075029;6507,2662;-;-;1343,5354;302,5779;12654,2572;28963,4413;639,3535;773,7382;4190,724;20807,6367;55374,8937;774;861;949;1051;42,69922699;48093;3069;CZ042;Ústecký kraj
4203;Chomutov;81662;-30;52;16,05030492;13107;17,97776199;14681;78;5,145430385;2788;2948;79;820;114;75;32;0;0;35,19258123;63,7202633;31,30274178;20,20211864;3,251706786;41,35359334;1,345935162;10899,8954;-;16,3738;449,75;385,2337;5354,6014;20100,5018;1580,5383;704,5442;9114,9827;17105,8543;48606,4213;835;865;1447;1395;41,66016017;53874;3069;CZ042;Ústecký kraj
4204;Kadaň;43284;-6;179;15,5623325;6736;18,66278532;8078;95;4,23847555;1210;1302;38;456;116;32;72;0;0;48,16096405;53,88455286;42,04974575;13,16636878;3,382857816;35,28980935;1,556388242;11668,3681;15,5639;11,6543;379,7152;473,4692;9105,6135;15867,1884;1521,0182;555,8567;5364,0748;21654,3842;44962,5223;466;472;1098;919;41,93863783;28470;3069;CZ042;Ústecký kraj
4205;Litoměřice;59110;-102;94;16,24259855;9601;19,72255118;11658;143;2,986714091;1142;1248;51;255;67;57;36;0;0;66,21754293;75,11245241;15,64156505;11,14619343;2,116343834;20,51991981;0,642472665;23405,4946;745,0923;204,4301;985,1854;946,3963;4874,0063;9656,2495;995,9076;928,57;4316,5979;31160,605;47057,93;576;678;1143;1049;42,30245305;37851;3069;CZ042;Ústecký kraj
4206;Litvínov;37035;-134;-45;15,74456595;5831;21,02065614;7785;36;3,632685743;862;925;21;154;49;32;23;0;0;11,9734396;23,86840947;62,2604848;25,58960389;2,088695246;60,34826127;2,515250663;674,3768;-;-;308,0128;83,9007;1759,1045;14240,4914;492,8733;327,6836;5710,7428;2825,3948;23597,1859;329;463;785;830;43,04861617;23419;3069;CZ042;Ústecký kraj
4207;Louny;43640;-44;170;16,01741522;6990;19,58065995;8545;97;3,948442993;1112;1263;42;280;68;37;18;0;0;73,94025996;85,14416118;5,511105934;11,65591633;1,534880958;12,86894275;0,340271823;29757,3664;1834,9908;12,7452;645,5228;772,6685;1926,098;6082,7717;725,4932;805,7281;4703,6816;34949,3917;47267,0663;414;458;948;778;42,23939047;28105;3069;CZ042;Ústecký kraj
4208;Lovosice;27750;-47;137;15,54954955;4315;20,91531532;5804;71;2,958680497;522;590;14;127;31;21;12;0;0;72,13498286;80,83068366;9,649199245;10,97629792;1,330165554;15,55855367;0,443345144;15253,5006;83,4629;23,781;634,8416;1054,449;1820,8935;4070,2076;347,979;535,8852;2335,5778;18870,9286;26160,5782;290;337;670;533;42,97661261;17631;3069;CZ042;Ústecký kraj
4209;Most;74673;-104;-58;15,77812596;11782;18,25157688;13629;39;4,998287568;2481;2711;42;712;87;39;17;0;0;45,49759928;81,51605068;12,33619087;44,13095784;2,048459714;8,322983172;0,231241968;8571,8768;-;93,9872;276,9523;275,5323;1297,2207;1923,6379;473,4474;511,3968;9688,3094;10515,5693;23112,3608;733;837;1759;1817;41,90471121;49262;3069;CZ042;Ústecký kraj
4210;Podbořany;15678;-45;55;16,05434367;2517;19,81120041;3106;62;4,349960723;443;507;20;112;30;29;8;0;0;65,45085526;79,46330671;12,83522029;11,15982861;1,388730102;22,00058602;0,583048903;17733,7134;1222,5232;-;309,5393;186,6643;2864,4179;7501,5667;473,517;447,0181;3358,1623;22316,8581;34097,1222;153;198;394;339;42,41784666;10055;3069;CZ042;Ústecký kraj
4211;Roudnice nad Labem;32808;-84;15;16,88917337;5541;20,26944648;6650;58;2,631325765;547;581;20;90;94;75;13;1;i.d.;77,02692027;91,36095478;2,446822409;10,26535435;1,779326741;10,92839864;0,240111903;21127,7442;395,8463;42,7937;516,6665;476,6805;565,8417;3281,002;534,2022;610,6003;2471,3378;23125,5729;30022,7152;306;390;629;614;42,24000244;20617;3069;CZ042;Ústecký kraj
4212;Rumburk;32795;-84;84;16,24332978;5327;20,37200793;6681;52;4,356549154;912;1036;28;228;46;35;30;0;0;44,1039327;21,45855986;72,59550093;8,507640284;0,957333502;46,43109352;4,564301066;2519,2513;-;-;692,0036;6,0542;8522,7672;12359,5459;254,8337;436,4872;1828,1713;11740,0763;26619,1144;316;400;705;621;42,1941302;20787;3069;CZ042;Ústecký kraj
4213;Teplice;106472;-179;583;15,85675107;16883;19,9254264;21215;85;2,652694348;1815;2022;40;228;245;174;52;2;800;33,12423779;46,05626927;43,80590399;20,63519204;2,007401355;44,23316882;1,786215352;5268,4834;-;-;880,4869;279,2026;5011,0589;15275,6261;693,2425;845,7961;6280,4281;11439,2318;34534,3246;1046;1225;2083;1500;42,48999737;68374;3069;CZ042;Ústecký kraj
4214;Ústí nad Labem;119338;-102;33;16,40382778;19576;20,08664466;23971;103;3,984832183;3037;3398;66;748;190;126;41;0;0;44,51398868;25,72613189;67,6062563;20,46127657;2,572892999;32,45184175;2,133518862;4635,0362;-;0,495;996,6107;204,1873;12180,5115;13134,7399;1041,3671;899,0276;7382,5839;18016,8407;40474,5592;1207;1309;1904;1871;42,12113493;75791;3069;CZ042;Ústecký kraj
4215;Varnsdorf;19905;-6;-94;16,19191158;3223;21,15548857;4211;20;4,278747837;544;581;18;111;15;15;25;0;0;41,716393;9,965414081;78,39451505;12,14668968;1,695121782;44,44179554;5,133501432;369,3862;-;-;421,5797;9,8807;2905,8353;3948,8457;150,6189;256,1332;823,1527;3706,6819;8885,4324;187;193;348;442;42,63579503;12471;3069;CZ042;Ústecký kraj
